track_name,artist,energy,danceability,valence,tempo
Too Late,SZA,0.68,0.4518368602761917,0.35,141
Before You Go,Lewis Capaldi,0.6,0.4586529371254766,0.19,147
Happier Than Ever - Edit,Billie Eilish,0.57,0.4599822885108479,0.12,156
Arcade,Duncan Laurence,0.33,0.45473220306825796,0.27,131
Fuera del mercado,Danny Ocean,0.67,0.45627443293727965,0.27,109
Golden,Harry Styles,0.84,0.45866165442953954,0.25,154
Sweet Child O' Mine,Guns N' Roses,0.9,0.4539924025862514,0.67,149
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",0.64,0.4658068361897674,0.34,151
Blind,SZA,0.28,0.46921667920428844,0.6,122
Good Days,SZA,0.78,0.4689760727575622,0.53,93
Santa Tell Me,Ariana Grande,0.63,0.4632803318210176,0.53,95
A Tale By Quincy,The Weeknd,0.5,0.46801035336631536,0.55,158
Phantom Regret by Jim,The Weeknd,0.48,0.4664039594704593,0.23,129
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",0.83,0.46218302749152657,0.62,110
Mount Everest,Labrinth,0.43,0.46569067322516117,0.43,98
Danza Kuduro,"Don Omar, Lucenzo",0.92,0.4711941150334064,0.86,84
Unstoppable,Sia,0.78,0.4790547128300349,0.27,114
Heather,Conan Gray,0.43,0.4775192802775511,0.25,134
Die For You,Joji,0.52,0.4771876886366393,0.15,158
Smoking on my Ex Pack,SZA,0.68,0.4720458647812499,0.33,140
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",0.8,0.47970434026491404,0.5,78
Alien Blues,Vundabar,0.76,0.47190386727713346,0.44,157
SPACE MAN,Sam Ryder,0.83,0.47223283662598253,0.33,70
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,0.5,0.4798770503515118,0.07,77
Mary On A Cross,Ghost,0.9,0.47195638915843224,0.56,157
I Wanna Be Yours,Arctic Monkeys,0.42,0.4863723499648983,0.44,132
Riptide,Vance Joy,0.73,0.4847758358557692,0.5,80
Shut up My Moms Calling,Hotel Ugly,0.41,0.48300987432479503,0.37,150
SORRY NOT SORRY,"Tyler, The Creator",0.8,0.48508522314412966,0.5,77
Labyrinth,Taylor Swift,0.31,0.4812660930397194,0.15,104
"Would've, Could've, Should've",Taylor Swift,0.84,0.48714708295893977,0.55,104
Viva La Vida,Coldplay,0.62,0.4924795689713645,0.42,102
Say Yes To Heaven,Lana Del Rey,0.35,0.49106700301215417,0.17,74
Que Vuelvas,"Carin Leon, Grupo Frontera",0.64,0.4919856432391157,0.78,110
Just Wanna Rock,Lil Uzi Vert,0.55,0.49201566900969873,0.04,97
ýýý98 Braves,Morgan Wallen,0.67,0.4915879507295153,0.48,76
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",0.66,0.49753963718537614,0.24,142
Wild Flower (with youjeen),RM,0.77,0.49058457332138805,0.42,141
Best Friends,The Weeknd,0.59,0.49283224742028,0.49,81
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",0.37,0.49778282146432085,0.5,103
Tak Ingin Usai,Keisya Levronka,0.4,0.49949896836355906,0.14,102
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",0.74,0.49889839984573164,0.13,117
Blinding Lights,The Weeknd,0.8,0.5001069008406475,0.38,92
Back To December (Taylor's Version),Taylor Swift,0.64,0.5077491675234519,0.2,131
Someone You Loved,Lewis Capaldi,0.41,0.5095842380952696,0.45,157
Chemical,Post Malone,0.9,0.5026988656999563,0.37,106
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",0.52,0.5000952335297147,0.85,113
Better Than Revenge (Taylor's Version),Taylor Swift,0.89,0.5051181872713361,0.67,155
Curtains,Ed Sheeran,0.76,0.5080020621188703,0.44,104
Numb,Linkin Park,0.86,0.5011593917700323,0.24,134
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",0.76,0.5081002598128033,0.49,116
Feliz Navidad,Josï¿½ï¿½ Felic,0.82,0.504527424037743,0.96,147
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",0.78,0.5050474497668591,0.39,72
Un Verano Sin Ti,Bad Bunny,0.5,0.5033244333699801,0.41,70
vampire,Olivia Rodrigo,0.53,0.5110957848730527,0.32,74
Daylight,David Kushner,0.43,0.5147274779644859,0.32,159
Enchanted (Taylor's Version),Taylor Swift,0.53,0.5131951512636812,0.22,83
golden hour,JVKE,0.59,0.5188467354996537,0.14,96
Tak Segampang Itu,Anggi Marito,0.44,0.5162383599519231,0.18,78
august,Taylor Swift,0.61,0.5167971074193575,0.42,148
ceilings,Lizzy McAlpine,0.33,0.5141287612385209,0.27,84
Space Song,Beach House,0.79,0.5151145018433791,0.62,159
Underneath the Tree,Kelly Clarkson,0.81,0.5168307555405571,0.69,111
SOS,SZA,0.66,0.5136572123888901,0.51,146
Driving Home for Christmas - 2019 Remaster,Chris Rea,0.58,0.5122225355651822,0.87,120
Jingle Bells - Remastered 1999,Frank Sinatra,0.34,0.5102226480338007,0.94,132
Stay Alive (Prod. SUGA of BTS),Jung Kook,0.76,0.516303670751307,0.5,121
Hrs and Hrs,Muni Long,0.53,0.517263379618407,0.66,73
House Of Memories,Panic! At The Disco,0.82,0.5195955094524565,0.48,92
Matilda,Harry Styles,0.29,0.5154131898177728,0.39,84
Hold My Hand,Lady Gaga,0.63,0.5129012212536712,0.21,112
Massive,Drake,0.68,0.5191080278016483,0.05,98
As It Was,Harry Styles,0.73,0.5295347209790325,0.66,105
Last Night,Morgan Wallen,0.68,0.5285183954113394,0.52,82
505,Arctic Monkeys,0.85,0.5212895784984621,0.2,101
MIENTRAS ME CURO DEL CORA,Karol G,0.48,0.5206618180852856,0.57,140
Talking To The Moon,Bruno Mars,0.61,0.5291257771741346,0.07,128
Smells Like Teen Spirit - Remastered 2021,Nirvana,0.91,0.520712220620725,0.73,155
Bar,"Tini, L-Gante",0.69,0.5286456239031251,0.68,97
Brividi,"Mahmood, Blanco",0.6,0.5286511264078423,0.44,135
United In Grief,Kendrick Lamar,0.83,0.5284101662578111,0.32,111
SLOW DANCING IN THE DARK,Joji,0.48,0.5243640200853916,0.28,114
THE LONELIEST,Mï¿½ï¿½ne,0.6,0.5224583939497722,0.24,131
Die For You - Remix,"Ariana Grande, The Weeknd",0.53,0.5390483040650814,0.5,126
Still With You,Jung Kook,0.47,0.5336484452182116,0.34,75
Creep,Radiohead,0.34,0.5376431641509738,0.12,97
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",0.67,0.5380679705626858,0.24,97
Thought You Should Know,Morgan Wallen,0.7,0.5371011456319847,0.51,113
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",0.36,0.5382304533582789,0.4,153
Born With A Beer In My Hand,Morgan Wallen,0.81,0.5305954056053563,0.61,99
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,0.66,0.5365127058511052,0.32,131
Sleigh Ride,The Ronettes,0.77,0.5313884848463668,0.84,144
F2F,SZA,0.74,0.5325250265263746,0.47,158
Less Than Zero,The Weeknd,0.79,0.5356744681363534,0.5,131
Oh My God,Adele,0.73,0.5369599468190759,0.55,70
Love Grows (Where My Rosemary Goes),Edison Lighthouse,0.69,0.5309092094653859,0.75,96
The Nights,Avicii,0.85,0.5382748719439358,0.66,131
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",0.31,0.5308904899452802,0.31,146
Wake Me Up - Radio Edit,Avicii,0.78,0.5380202370016142,0.66,72
With you,"HA SUNG WOON, Jimin",0.43,0.5333803254525007,0.14,139
Primera Cita,Carin Leon,0.4,0.546183147690962,0.5,141
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",0.67,0.5468047749275962,0.4,96
Pink + White,Frank Ocean,0.55,0.5415064500845588,0.54,78
Bebe Dame,"Fuerza Regida, Grupo Frontera",0.6,0.5477680178224349,0.75,131
Escapism.,"RAYE, 070 Shake",0.74,0.5481668971935949,0.25,106
Don't ever say love me (feat. RM of BTS),"RM, Colde",0.48,0.5470986370606014,0.19,120
I Hate U,SZA,0.39,0.5481197627958906,0.41,113
10 Things I Hate About You,Leah Kate,0.79,0.5426358445623136,0.45,93
Master of Puppets (Remastered),Metallica,0.83,0.5459384445670359,0.59,148
The Astronaut,Jin,0.76,0.5444553445451317,0.22,128
Cruel Summer,Taylor Swift,0.72,0.5529302782291979,0.58,101
Tattoo,Loreen,0.78,0.5521172189633746,0.3,157
Watermelon Sugar,Harry Styles,0.82,0.5575290765752329,0.56,121
Do I Wanna Know?,Arctic Monkeys,0.53,0.5509984237147435,0.42,131
In The End,Linkin Park,0.9,0.5561392916830378,0.4,127
'Till I Collapse,"Eminem, Nate Dogg",0.85,0.5501331140466202,0.1,121
Chale,Eden Muï¿½ï,0.44,0.5529960277457127,0.86,81
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",0.78,0.5520043092312119,0.5,108
ALIEN SUPERSTAR,Beyoncï¿,0.64,0.5537410910429847,0.46,71
TULUM,"Peso Pluma, Grupo Frontera",0.87,0.5604634147455428,0.63,72
El Azul,"Junior H, Peso Pluma",0.65,0.5653684040659374,0.84,125
I'm Good (Blue),"Bebe Rexha, David Guetta",0.97,0.5689000461769563,0.38,150
See You Again,"Tyler, The Creator, Kali Uchis",0.56,0.562103418688846,0.58,128
Overdrive,Post Malone,0.73,0.5622720864654263,0.48,71
Snooze,SZA,0.55,0.5651550910786614,0.39,71
Summertime Sadness,Lana Del Rey,0.66,0.5615059116214528,0.24,123
Romantic Homicide,d4vd,0.55,0.5642342055003449,0.2,156
SNAP,Rosa Linn,0.64,0.5623871945137243,0.53,70
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",0.55,0.561834912553941,0.53,88
Rich Flex,"Drake, 21 Savage",0.52,0.5676830382448056,0.42,71
Lovers Rock,TV Girl,0.87,0.5655172623687043,0.57,122
